2	0.57	0	0.358	1.459		-1.570796327	0.030238727
3	1.42	0.001	1.336	2.426		-1.569878896	0.075331565
3.4	2.44	0.004	2.6	3.678		-1.567085769	0.129442971
3.6	3.61	0.008	4.065	5.08		-1.562914717	0.191511936
3.75	5.4	0.015	6.2	7.3		-1.557160808	0.286472149
3.85	7.82	0.025	9.22	10.3		-1.547652312	0.414854111
3.89	9.39	0.031	11.19	12.25		-1.541559377	0.498143236
3.91	10.37	0.035	12.42	13.46		-1.537155177	0.550132626
3.93	11.45	0.039	13.79	14.8		-1.53220164	0.607427056
3.95	12.89	0.044	15.6	16.56		-1.524995047	0.683819629
3.96	13.53	0.047	16.41	17.34		-1.520301652	0.717771883
3.97	14.24	0.05	17.33	18.22		-1.514675544	0.755437666
3.98	15.05	0.053	18.35	19.19		-1.507784617	0.798408488
3.99	15.81	0.056	19.33	20.12		-1.500028624	0.83872679
4.01	17.27	0.063	21.23	21.87		-1.472674942	0.916180371
4.02	18.03	0.066	22.21	22.73		-1.444548291	0.956498674
4.03	18.26	0.067	22.56	23.01		-1.422993217	0.968700265
4.03	18.42	0.068	22.75	23.17		-1.410284401	0.977188329
4.04	18.63	0.07	23.06	23.37		-1.348714425	0.988328912
4.05	18.85	0.07	23.39	23.72		-1.361773384	1
4.05	18.64	0.07	23.14	23.34		-1.234121507	0.988859416
4.06	18.4	0.069	22.89	22.9		-0.143925449	0.976127321
4.07	18.68	0.071	23.3	23.37		-0.778306084	0.990981432
4.07	18.03	0.068	22.49	22.46		0.415492096	0.956498674
4.08	17.55	0.067	21.94	21.81		1.094916912	0.931034483
4.09	17.75	0.068	22.24	22.08		1.168925679	0.941644562
4.11	16.03	0.062	20.17	19.85		1.379417542	0.850397878
4.13	14.79	0.057	18.71	18.23		1.452599838	0.784615385
4.14	13.88	0.054	17.6	17.06		1.471127674	0.736339523
4.15	13.18	0.052	16.75	16.16		1.482887885	0.699204244
4.17	11.95	0.047	15.24	14.57		1.500761801	0.633952255
4.19	10.8	0.043	13.84	13.1		1.512753488	0.572944297
4.21	9.82	0.039	12.65	11.86		1.521469284	0.520954907
4.25	8.3	0.034	10.79	9.93		1.531282022	0.440318302
4.3	6.8	0.028	8.94	8.04		1.539695247	0.360742706
4.4	5.1	0.022	6.85	5.89		1.547883671	0.270557029
4.6	3.36	0.015	4.72	3.758		1.555205075	0.178249337
5	2.04	0.01	3.205	2.04		1.562212847	0.108222812
6	1.05	0.007	2.023	0.918		1.56446157	0.055702918
8	0.55	0.004	1.482	0.372		1.567192739	0.029177719
