1.00	0.24	0.037	0.115	1.221		-1.537	0.052
2.00	0.67	0.099	0.640	1.720		-1.479	0.146
2.50	1.22	0.178	1.444	2.471		-1.399	0.266
2.70	1.66	0.241	2.113	3.128		-1.338	0.362
2.90	2.37	0.343	3.240	4.160		-1.214	0.517
3.00	2.92	0.423	4.129	4.92		-1.080	0.638
3.05	3.25	0.470	4.58	5.38		-1.040	0.710
3.10	3.62	0.523	5.18	5.89		-0.936	0.790
3.15	3.98	0.575	5.80	6.39		-0.798	0.869
3.20	4.34	0.627	6.42	6.85		-0.601	0.948
3.25	4.53	0.653	6.80	7.04		-0.352	0.989
3.30	4.58	0.661	6.99	7.03		-0.060	1.000
3.35	4.51	0.650	6.99	6.81		0.270	0.985
3.40	4.30	0.619	6.76	6.39		0.539	0.939
3.45	3.98	0.572	6.35	5.83		0.738	0.869
3.50	3.64	0.523	5.89	5.26		0.878	0.795
3.55	3.33	0.477	5.46	4.74		0.986	0.727
3.60	3.04	0.435	5.05	4.302		1.044	0.664
3.70	2.56	0.365	4.459	3.526		1.198	0.559
3.80	2.20	0.313	3.943	2.956		1.264	0.480
4.00	1.70	0.240	3.211	2.173		1.344	0.371
4.40	1.16	0.164	2.440	1.364		1.420	0.253
5.00	0.80	0.111	1.932	0.835		1.470	0.175
